row_type,ref_or_game_id,date_or_team_name,start_time,field,home_team,away_team,home_score,away_score
KEY,Team 1,Batth,,,,,,
KEY,Team 2,Bender,,,,,,
KEY,Team 3,Butler,,,,,,
KEY,Team 4,Myers,,,,,,
KEY,Team 5,Solker,,,,,,
KEY,Team 6,Taylor,,,,,,
KEY,Team 7,Thomas,,,,,,
KEY,Team 8,Thompson,,,,,,
GAME,1,2026-05-04,6:30 PM,Field J (Cowan A),Team 3,Team 6,,
GAME,2,2026-05-04,6:30 PM,Field H (Cowan B),Team 2,Team 5,,
GAME,3,2026-05-04,6:30 PM,Field G (Cowan C),Team 1,Team 4,,
GAME,4,2026-05-04,6:30 PM,Field K (Cowan D),Team 7,Team 8,,
GAME,5,2026-05-04,7:30 PM,Field J (Cowan A),Team 1,Team 2,,
GAME,6,2026-05-04,7:30 PM,Field H (Cowan B),Team 3,Team 4,,
GAME,7,2026-05-04,7:30 PM,Field G (Cowan C),Team 5,Team 7,,
GAME,8,2026-05-04,7:30 PM,Field K (Cowan D),Team 6,Team 8,,
GAME,9,2026-05-11,6:30 PM,Field J (Cowan A),Team 1,Team 3,,
GAME,10,2026-05-11,6:30 PM,Field H (Cowan B),Team 2,Team 4,,
GAME,11,2026-05-11,6:30 PM,Field G (Cowan C),Team 5,Team 8,,
GAME,12,2026-05-11,6:30 PM,Field K (Cowan D),Team 6,Team 7,,
GAME,13,2026-05-11,7:30 PM,Field J (Cowan A),Team 1,Team 5,,
GAME,14,2026-05-11,7:30 PM,Field H (Cowan B),Team 2,Team 6,,
GAME,15,2026-05-11,7:30 PM,Field G (Cowan C),Team 3,Team 7,,
GAME,16,2026-05-11,7:30 PM,Field K (Cowan D),Team 4,Team 8,,
GAME,17,2026-05-25,6:30 PM,Field J (Cowan A),Team 1,Team 6,,
GAME,18,2026-05-25,6:30 PM,Field H (Cowan B),Team 2,Team 7,,
GAME,19,2026-05-25,6:30 PM,Field G (Cowan C),Team 3,Team 8,,
GAME,20,2026-05-25,6:30 PM,Field K (Cowan D),Team 4,Team 5,,
GAME,21,2026-05-25,7:30 PM,Field J (Cowan A),Team 1,Team 7,,
GAME,22,2026-05-25,7:30 PM,Field H (Cowan B),Team 2,Team 8,,
GAME,23,2026-05-25,7:30 PM,Field G (Cowan C),Team 3,Team 5,,
GAME,24,2026-05-25,7:30 PM,Field K (Cowan D),Team 4,Team 6,,
GAME,25,2026-06-01,6:30 PM,Field J (Cowan A),Team 1,Team 8,,
GAME,26,2026-06-01,6:30 PM,Field H (Cowan B),Team 2,Team 3,,
GAME,27,2026-06-01,6:30 PM,Field G (Cowan C),Team 4,Team 7,,
GAME,28,2026-06-01,6:30 PM,Field K (Cowan D),Team 5,Team 6,,
GAME,29,2026-06-01,7:30 PM,Field J (Cowan A),Team 3,Team 6,,
GAME,30,2026-06-01,7:30 PM,Field H (Cowan B),Team 2,Team 5,,
GAME,31,2026-06-01,7:30 PM,Field G (Cowan C),Team 1,Team 4,,
GAME,32,2026-06-01,7:30 PM,Field K (Cowan D),Team 7,Team 8,,
GAME,33,2026-06-08,6:30 PM,Field J (Cowan A),Team 1,Team 2,,
GAME,34,2026-06-08,6:30 PM,Field H (Cowan B),Team 3,Team 4,,
GAME,35,2026-06-08,6:30 PM,Field G (Cowan C),Team 5,Team 7,,
GAME,36,2026-06-08,6:30 PM,Field K (Cowan D),Team 6,Team 8,,
GAME,37,2026-06-08,7:30 PM,Field J (Cowan A),Team 1,Team 3,,
GAME,38,2026-06-08,7:30 PM,Field H (Cowan B),Team 2,Team 4,,
GAME,39,2026-06-08,7:30 PM,Field G (Cowan C),Team 5,Team 8,,
GAME,40,2026-06-08,7:30 PM,Field K (Cowan D),Team 6,Team 7,,
GAME,41,2026-06-15,6:30 PM,Field J (Cowan A),Team 1,Team 5,,
GAME,42,2026-06-15,6:30 PM,Field H (Cowan B),Team 2,Team 6,,
GAME,43,2026-06-15,6:30 PM,Field G (Cowan C),Team 3,Team 7,,
GAME,44,2026-06-15,6:30 PM,Field K (Cowan D),Team 4,Team 8,,
GAME,45,2026-06-15,7:30 PM,Field J (Cowan A),Team 1,Team 6,,
GAME,46,2026-06-15,7:30 PM,Field H (Cowan B),Team 2,Team 7,,
GAME,47,2026-06-15,7:30 PM,Field G (Cowan C),Team 3,Team 8,,
GAME,48,2026-06-15,7:30 PM,Field K (Cowan D),Team 4,Team 5,,
GAME,49,2026-06-22,6:30 PM,Field J (Cowan A),Team 1,Team 7,,
GAME,50,2026-06-22,6:30 PM,Field H (Cowan B),Team 2,Team 8,,
GAME,51,2026-06-22,6:30 PM,Field G (Cowan C),Team 3,Team 5,,
GAME,52,2026-06-22,6:30 PM,Field K (Cowan D),Team 4,Team 6,,
GAME,53,2026-06-22,7:30 PM,Field J (Cowan A),Team 1,Team 8,,
GAME,54,2026-06-22,7:30 PM,Field H (Cowan B),Team 2,Team 3,,
GAME,55,2026-06-22,7:30 PM,Field G (Cowan C),Team 4,Team 7,,
GAME,56,2026-06-22,7:30 PM,Field K (Cowan D),Team 5,Team 6,,
PLAYOFF,57,2026-06-29,6:30 PM,Field J (Cowan A),Seed 1,Seed 4,,
PLAYOFF,58,2026-06-29,6:30 PM,Field H (Cowan B),Seed 2,Seed 3,,
PLAYOFF,59,2026-06-29,6:30 PM,Field G (Cowan C),Seed 5,Seed 8,,
PLAYOFF,60,2026-06-29,6:30 PM,Field K (Cowan D),Seed 6,Seed 7,,
PLAYOFF,61,2026-06-29,7:30 PM,Field J (Cowan A),Winner (1 v 4),Winner (2 v 3),,
PLAYOFF,62,2026-06-29,7:30 PM,Field H (Cowan B),Loser (1 v 4),Loser (2 v 3),,
PLAYOFF,63,2026-06-29,7:30 PM,Field G (Cowan C),Winner (5 v 8),Winner (6 v 7),,
PLAYOFF,64,2026-06-29,7:30 PM,Field K (Cowan D),Loser (5 v 8),Loser (6 v 7),,
